Initializing SD card...card initialized.
Timestamp (ISO8601),Pressure (Pa),Altitude AGL (m),Humidity (%),Temperature (°C)
0000-00-00T99:99:99:000,101049.305,-0.026,47.090,25.490
0000-00-00T00:11:28:000,101050.016,-0.086,47.190,25.500
0000-00-00T00:11:28:071,101049.773,-0.065,47.260,25.530
0000-00-00T00:11:28:141,101049.883,-0.074,47.340,25.520
0000-00-00T00:11:28:211,101050.445,-0.122,47.430,25.530
0000-00-00T00:11:28:281,101050.625,-0.137,47.480,25.530
0000-00-00T00:11:28:351,101050.406,-0.119,47.590,25.550
0000-00-00T00:11:28:422,101050.977,-0.166,47.700,25.520
0000-00-00T00:11:28:495,101050.672,-0.141,47.790,25.530
0000-00-00T00:11:28:565,101049.289,-0.025,47.850,25.530
0000-00-00T00:11:28:636,101050.000,-0.084,47.920,25.560
0000-00-00T00:11:30:000,101049.812,-0.068,48.020,25.560
0000-00-00T00:11:30:071,101050.531,-0.129,48.120,25.550
0000-00-00T00:11:30:141,101050.688,-0.142,48.210,25.560
0000-00-00T00:11:30:211,101050.180,-0.100,48.320,25.560
0000-00-00T00:11:30:281,101050.305,-0.110,48.420,25.560
0000-00-00T00:11:30:352,101048.695,0.025,48.520,25.550
0000-00-00T00:11:30:425,101048.922,0.006,48.620,25.530
0000-00-00T00:11:30:495,101049.102,-0.010,48.740,25.550
0000-00-00T00:11:30:565,101048.680,0.026,48.900,25.550
0000-00-00T00:11:30:635,101048.727,0.022,48.990,25.560
0000-00-00T00:11:30:705,101050.219,-0.103,49.110,25.580
0000-00-00T00:11:30:776,101049.984,-0.083,49.220,25.560
0000-00-00T00:11:30:846,101050.094,-0.093,49.350,25.580
0000-00-00T00:11:31:000,101050.164,-0.099,49.470,25.560
0000-00-00T00:11:31:070,101049.000,-0.001,49.580,25.560
0000-00-00T00:11:31:143,101048.570,0.035,49.750,25.560
0000-00-00T00:11:31:213,101048.469,0.043,49.860,25.580
0000-00-00T00:11:31:284,101048.516,0.039,49.970,25.580
0000-00-00T00:11:31:354,101048.242,0.062,50.100,25.590
0000-00-00T00:11:31:424,101048.625,0.030,50.220,25.590
0000-00-00T00:11:31:494,101049.016,-0.003,50.340,25.560
0000-00-00T00:11:31:565,101048.609,0.032,50.440,25.580
0000-00-00T00:11:31:635,101048.047,0.078,50.540,25.560
0000-00-00T00:11:31:705,101048.641,0.029,50.660,25.580
