Timestamp (ISO8601),Pressure (Pa),Altitude AGL (m),Humidity (%),Temperature (°C)
0000-00-00T99:99:99:000,101292.492,0.043,54.470,23.730
0000-00-00T23:59:45:000,101293.352,-0.028,54.530,23.710
0000-00-00T23:59:45:070,101292.273,0.061,54.540,23.710
0000-00-00T23:59:45:140,101291.977,0.086,54.560,23.730
0000-00-00T23:59:45:210,101292.320,0.057,54.590,23.710
0000-00-00T23:59:45:280,101292.148,0.072,54.580,23.710
0000-00-00T23:59:45:350,101291.867,0.095,54.630,23.730
0000-00-00T23:59:45:420,101292.016,0.083,54.650,23.730
0000-00-00T23:59:45:493,101291.469,0.129,54.660,23.710
0000-00-00T23:59:45:563,101291.016,0.166,54.660,23.730
0000-00-00T23:59:45:633,101290.484,0.211,54.690,23.710
0000-00-00T23:59:45:703,101291.148,0.155,54.690,23.740
0000-00-00T23:59:45:773,101289.992,0.251,54.720,23.710
0000-00-00T23:59:45:844,101290.242,0.231,54.710,23.700
0000-00-00T23:59:45:914,101290.438,0.215,54.720,23.740
0000-00-00T23:59:48:000,101289.977,0.252,54.700,23.730
0000-00-00T23:59:48:071,101290.406,0.217,54.680,23.740
0000-00-00T23:59:48:144,101290.578,0.203,54.720,23.740
0000-00-00T23:59:48:214,101289.938,0.256,54.690,23.730
0000-00-00T23:59:48:284,101290.406,0.217,54.640,23.710
0000-00-00T23:59:48:354,101290.203,0.234,54.640,23.730
0000-00-00T23:59:48:424,101291.164,0.154,54.570,23.740
0000-00-00T23:59:48:494,101291.102,0.159,54.590,23.730
0000-00-00T23:59:48:564,101291.719,0.108,54.580,23.750
0000-00-00T23:59:48:634,101290.898,0.176,54.530,23.730
0000-00-00T23:59:48:705,101292.273,0.061,54.540,23.740
0000-00-00T23:59:48:777,101291.383,0.136,54.480,23.730
0000-00-00T23:59:48:847,101290.625,0.199,54.470,23.750
0000-00-00T23:59:49:000,101290.234,0.231,54.480,23.730
0000-00-00T23:59:49:070,101290.148,0.238,54.430,23.740
0000-00-00T23:59:49:141,101290.375,0.220,54.420,23.750
0000-00-00T23:59:49:211,101289.969,0.253,54.400,23.730
0000-00-00T23:59:49:281,101289.969,0.253,54.370,23.730
0000-00-00T23:59:49:351,101289.609,0.283,54.370,23.730
0000-00-00T23:59:49:421,101289.758,0.271,54.320,23.740
0000-00-00T23:59:49:491,101289.492,0.293,54.320,23.740
0000-00-00T23:59:49:564,101289.703,0.276,54.310,23.730
0000-00-00T23:59:49:634,101290.094,0.243,54.310,23.740
0000-00-00T23:59:49:704,101289.648,0.280,54.250,23.740
0000-00-00T23:59:49:774,101290.406,0.217,54.210,23.750
